hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
""" لاڤيلا ""منتجع وشاليهات لا فيلا العرسان",Riyadh,250,Deluxe Double Room with Balcony,1,7.3,Good,86,1
شاطئ الحياة للأجنحة الفندقية,Jeddah,187,Studio,1,8.1,Very good,380,1
Mirage Al Salam Hotel,Madinah,125,Basic Triple Room,3,7.2,Good,2530,1
ريحانة الورد,Abha ,88,Budget Double Room,1,6.9,Review score,28,1
Rihan Tibah Furnished Units,Madinah,99,Triple Room with Private Bathroom,3,5.4,Review score,36,1
لوريت للشقق والاجنحة الفندقية,Jeddah,225,Junior Suite,1,0.0,,0,1
مزرعة بإطلالة على الجبل,Madain,1603,Family Room,8,8.5,Very good,15,1
Al Rose Al Motamaiza Furnished Apartment,Jeddah,185,One-Bedroom Apartment,1,7.3,Good,485,1
ملفا للأجنحة الفندقية- فرع حي الموسى,Bishah,180,One-Bedroom Apartment,1,8.0,Very good,144,1
Al Muhaidb Residence Al Khobar,Riyadh,255,Double Room,1,6.8,Review score,1202,1
Jamjoom Hotel - فندق الجمجوم,Jeddah,131,Deluxe King Room,1,6.2,Review score,724,1
Diamond Elite hotel,Jeddah,225,Twin Room,2,8.4,Very good,1319,1
Almakan Suites 111,Riyadh ,61,Studio Apartment,1,4.0,Review score,830,1
Swiss EYE,Jeddah,219,Deluxe Twin Room,2,7.6,Good,1073,1
Al Hamra Palace ApartHotel Falastin,Jeddah,170,Deluxe Studio,1,6.7,Review score,1529,1
برج سما للشقق المفروشة,Jeddah,102,Studio,2,6.3,Review score,768,1
Ebreez Hotel,Jeddah,200,Deluxe King Room,1,7.5,Good,2248,1
Hawadah Hotel,Jeddah,230,Standard Double Room,1,7.3,Good,461,1
شدون للوحدات السكنية,Buraydah,144,Double Room - Disability Access,1,6.9,Review score,171,1
Durrat Hira ApartHotel,Jeddah,163,Studio,1,8.1,Very good,1067,1
منتجع قرية الريف الفندقية,Taif,315,One-Bedroom Chalet,1,7.8,Good,95,1
منتجع قرية الفقرة,Madinah,1400,Two-Bedroom Villa,4,8.6,Fabulous,8,1
فندق رحابة Rahabah Hotel,Makkah,158,Budget Double Room,1,7.3,Good,14,1
Acacia Aparthotel,Jeddah,144,Economy Double Room,1,7.4,Good,1387,1
Danat Park Hotel,Yanbu,140,Budget Double Room,1,6.5,Review score,563,1
فندق بانوراما الخبر-Panorama ALkohbar Hotel,Riyadh,400,Duplex Studio,1,6.6,Review score,89,1
Rose Diamond Hotel,Madinah,100,Standard Quadruple Room,3,6.7,Review score,318,1
Makarim Palm Hotel,Rabigh,160,One-Bedroom Apartment,1,6.8,Review score,311,1
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic City,1259,Apartment,5,9.4,Superb,7,1
مينا بلازا الطائف Mena Plaza Taif,Taif,140,Standard King Room,1,5.8,Review score,1112,1
Al Qibla Hotel,Madinah,285,Twin Room - Non-Smoking,2,6.3,Review score,1690,1
Orchida Al Hamra,Riyadh ,111,King Studio,1,5.8,Review score,15,1
فندق النهضة Al Nahda Hotel,Jeddah,111,Studio,1,6.3,Review score,340,1
رحاب الضيافة,Dammam,230,Two-Bedroom Apartment,6,0.0,,0,1
Baisan Suites Al Jubail,Al Jubail,210,One-Bedroom Apartment,1,7.0,Good,607,1
Afaq Jeddah,Jeddah,162,Budget Double Room,1,6.8,Review score,2020,1
Naviti Warwick Al Khobar,Riyadh ,309,Deluxe Double Room,1,7.6,Good,3543,1
شاليه وئام,Umm as Salam,650,One-Bedroom Chalet,2,0.0,,0,1
Almakan Hotel 103,Riyadh,144,One-Bedroom Apartment,1,6.0,Review score,1789,1
Bhadur Resort Jeddah,Jeddah,600,Standard  Room,1,5.7,Review score,854,1
Quartz Executive كوارتز التنفيذية,Abha,322,Superior Suite,2,8.5,Very good,87,1
رواسل,Jeddah,168,Superior Twin Room,2,8.1,Very good,79,1
Almuhaidb Residence Al Jubail,Al Jubail,250,Standard King Room,1,7.7,Good,1596,1
Nuzul mena 109,Riyadh,126,Studio Apartment,2,6.2,Review score,970,1
فندق العرب إن,Riyadh,75,Deluxe Double Room,2,7.3,Good,33,1
Royal El Naser Hotel,Riyadh,150,Deluxe Double Room,1,5.3,Review score,375,1
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,229,Deluxe Double Studio,2,8.0,Very good,864,1
Crown Rose Hotel,Riyadh,360,Superior Twin Room,2,7.8,Good,1139,1
دار اجواء 2,Riyadh,179,One-Bedroom Apartment,1,0.0,,0,1
Genac Hotel Yanbu,Yanbu,100,Deluxe Double Room,2,7.1,Good,444,1
العييري للوحدات المفروشة جدة 6,Jeddah,160,Two-Bedroom Apartment,7,5.1,Review score,13,1
شاليهات سحاب,Buraydah ,1150,Two-Bedroom Chalet,3,9.1,Superb,14,1
شقق بيات العالية بوادي بن هشبل Bayat Al aliah Apartments in Wadi bin Hashbal,Bin Hashbal,130,One-Bedroom Apartment,4,8.9,Fabulous,21,1
سرو للوحدات السكنية,Al Namas,200,One-Bedroom Villa,1,7.6,Good,425,1
الحماد للشقق الفندقية - فرع قريش,Jeddah,120,One-Bedroom Apartment,1,7.2,Good,1836,1
Loalat Al Rowdah Family,Jeddah,210,Apartment,2,7.8,Good,466,1
شقق عمار - شقق خاصة,Al Ula,217,Budget Double Room,2,8.0,Very good,67,1
العييرى للوحات المفروشة جدة4,Jeddah,85,Twin Room with Bathroom,2,3.8,Review score,20,1
Mena Andalusia Riyadh,Riyadh,213,Standard Room Twin,1,7.2,Good,3261,1
Gardino Hotel & Residence - فندق جاردينو,Riyadh,698,Deluxe Room,1,8.7,Fabulous,365,1
Al Andalus Palace 1 Hotel Haram فندق قصر الاندلس 1 الحرم,Madinah,170,Deluxe King Room,1,6.4,Review score,3257,1
Almasem Luxury Hotel suite 6,Riyadh,219,Economy Twin Room,2,7.6,Good,495,1
Golden Abha,Abha,74,Deluxe King Room,1,5.5,Review score,1216,1
Iris Boutique Taif Heart,Taif,297,Deluxe Queen Room,1,8.6,Fabulous,1354,1
Super 8 Al Riyadh,Riyadh,340,King Room - Non-Smoking,1,6.9,Review score,708,1
رانا الخليجية - rana alkhaleejiah,Riyadh,230,One-Bedroom Apartment,1,7.7,Good,17,1
إبريز الحجاز Amarena سابقا,Jeddah,111,Economy Double Room,1,7.0,Good,167,1
دارك للشقق المفروشة,Al Ula,300,Two-Bedroom Apartment,3,7.2,Good,179,1
Raihat Al Bustan Furnished Units,Haradh,180,Budget Double Room,2,6.4,Review score,8,1
شقق درة الجوف,Riyadh,120,Large Double Room,1,6.8,Review score,35,1
Rawabi Al Khobar Hotel,Riyadh,275,Standard Double Room,1,7.4,Good,369,1
Orchida Al Hamra,Riyadh,111,King Studio,1,5.8,Review score,15,1
عابر خميس مشيط,Khamis Mushayt,251,Superior Double Room,1,8.3,Very good,402,1
شاليهات القمر,Taif,470,Two-Bedroom Chalet,3,9.2,Superb,13,1
Areen ApartHotel,Riyadh,171,Economy Double Room,1,7.4,Good,521,1
Al Eairy Apartment-Alqaseem 1,Buraydah,99,Twin Room,2,4.8,Review score,352,1
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic,1259,Apartment,5,9.4,Superb,7,1
ريف عسير للشقق المفروشة,Khamis Mushayt,125,Deluxe Double Room,1,7.5,Good,34,1
Views Hotel & Residences,King Abdullah Economic,764,Studio with Courtyard View,1,8.3,Very good,7034,1
Swiss International Taba Alsalam,Madinah,260,Double Room with Private Bathroom,1,7.7,Good,4439,1
Fakher Yanbu Hotel,Yanbu ,98,Studio,1,7.0,Good,1571,1
Le Park Shaqra,Shaqra ,340,Superior Suite,1,9.0,Superb,114,1
Orchida Turaif Hotel 1,Turayf,125,Twin Room,2,6.0,Review score,23,1
Diamond Suites,Madinah,156,Economy Double Room,1,7.1,Good,144,1
شاليهات نيو فيو الفندقيه,Taif,675,One-Bedroom Chalet,2,0.0,,0,1
Jinan Al Nakhil Apartment Hotel,Al Muzahimiyah,193,Superior Suite,1,8.6,Fabulous,117,1
شاليه ودق,Buraydah,400,Double or Twin Room,2,0.0,,0,1
The District Hotel Najran,Najran,421,Executive Suite with City View,1,8.4,Very good,993,1
Asia Hotel,Riyadh,115,Standard Studio,1,5.5,Review score,304,1
سفن سيز 2 للوحدات السكينه,Jeddah,128,Studio,1,5.5,Review score,236,1
Freesia Hotel,Jeddah,234,Deluxe King Studio,1,7.8,Good,59,1
Pearl of Vision Hotel,Jeddah,153,Standard Double Room,1,8.5,Very good,134,1
Pullman Zamzam Madina,Madinah,280,Classic Twin Room with Patio View,2,8.1,Very good,12774,1
Al Eairy Apartments - Al Taif,Taif,95,Double or Twin Room,1,5.3,Review score,865,1
Danar Hotel Apartments 5,Riyadh,249,Double Room,1,6.5,Review score,724,1
شقق فندقية سبيل,Khamis Mushayt,85,Deluxe Queen Room,1,6.4,Review score,138,1
Raoum Inn - Hawtah Bani Tamim,Al Hillah,165,One-Bedroom Suite,1,6.4,Review score,126,1
Safa Albawadi,Jeddah,130,Twin Room,2,7.6,Good,773,1
Iwaa Alkharj Apartments,Riyadh,160,Deluxe Queen Room,1,7.8,Good,408,1
Lavana Furnished Apartments Salam,Jeddah,152,Studio,1,7.9,Good,796,1
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic,705,Deluxe Double Room with City View,1,8.2,Very good,9052,1
Vision of Onaizah Furnished Units,Unayzah,153,Twin Room,2,8.2,Very good,830,1
Rafa Homes,Riyadh,318,One-Bedroom Apartment,1,7.5,Good,915,1
فندق لافندر,Taif,229,Studio Apartment,1,8.3,Very good,633,1
Dar Al Naem Hotel,Madinah,150,Standard Twin Room,2,6.4,Review score,1373,1
Executives Hotel - Azizia,Riyadh,279,Standard Double Room,1,8.0,Very good,2709,1
فندق المحمل العصري,Sharurah Show on map,150,Double Room,1,0.0,,0,1
Baylasun Life,King Abdullah Economic City,760,One-Bedroom Apartment,3,8.7,Fabulous,72,1
Gardens View,Taif,216,Standard Studio,1,7.3,Good,318,1
Hotel Qal'aat AlKhafji,AlKhafji,269,Deluxe Double Room,2,7.0,Good,6,1
Al Muhaidb Residence Al Takhassusi,Riyadh,250,Club Double Room,1,6.9,Review score,1092,1
Al Hayatt Plus,Madinah,175,Economy Double Room,2,6.9,Review score,2304,1
Al Eairy Furnished Apartments- Jeddah 2,Jeddah,100,Small Double Room,1,5.2,Review score,879,1
اوج للأجنحة الفندقية,Jazan,465,Standard Studio,1,8.9,Fabulous,40,1
Ramada by Wyndham Dammam Khaleej Road,Dammam,210,Queen Room - Smoking,1,6.9,Review score,4808,1
سويت ان العلا للشقق المفروشة الخاصة Sweet In alula Apartments and organizing tours,Al Ula,620,Three-Bedroom Apartment,8,7.6,Good,163,1
La fontaine Opal,Jeddah,280,Standard Double or Twin Room,1,8.2,Very good,299,1
شالية مارينا,Al Muwayh,1000,Two-Bedroom Chalet,3,0.0,,0,1
استراحة الخير,Riyadh,240,Two-Bedroom Chalet,5,0.0,,0,1
دار العلاية,Sabt Alalayah,162,One-Bedroom Apartment,1,6.2,Review score,68,1
OYO 114 Dome Hotel Al Sulaimaniah,Riyadh,270,Two Bedroom Apartment,3,7.2,Good,2839,1
Ghoson Al Zaitoun Furnished Units,Sakakah,130,Double Room,1,7.1,Good,51,1
Lamar Al Bawadi Hotel,Jeddah,285,Executive Suite,1,8.0,Very good,1664,1
Home Inn Hotel Suites,Riyadh ,210,Junior Suite,2,8.7,Fabulous,818,1
شاليهات فلورنيسا الطائف,Taif,1000,Deluxe King Room,1,8.5,Very good,6,1
TRAMONTANE,Hail,231,Standard Double Room,1,8.5,Very good,853,1
Relax Day Hotel,Tabuk,250,Economy Double Room,2,7.0,Good,278,1
Al Musafer Hotel Riyadh,Riyadh,142,Twin Room,2,5.9,Review score,608,1
"Radisson Blu Hotel, Yanbu",Yanbu,420,Standard Room,1,6.6,Review score,2434,1
Al Diafah Hotel Suites,Riyadh,230,Standard Double Room,1,7.1,Good,730,1
مشارف الفخامة,Ahad Rafidah,180,Double Room,1,7.8,Good,138,1
Hilton Garden Inn Riyadh Financial District,Riyadh,539,King Room,1,7.4,Good,700,1
Areej Hotel,Makkah,55,Double Room with Private Bathroom,2,6.3,Review score,239,1
Al Rabwah House,Riyadh,180,One-Bedroom Apartment,2,6.5,Review score,4,1
Naviti Warwick Dammam,Dammam,289,Standard Double Room,1,7.8,Good,3572,1
Nadra Furnished Apartments,Taif,280,Two-Bedroom Apartment,3,6.8,Review score,268,1
Najd Peak By Quiet Rooms,Riyadh,162,One-Bedroom Apartment,2,5.4,Review score,530,1
شقق جنان المفروشة Jenaan Apartments,Najran,133,One-Bedroom Apartment,1,8.1,Very good,280,1
Mabet Al Tahlia Hotel Apartments,Jeddah,237,Deluxe King Studio,1,7.9,Good,1099,1
Diamond Tower Hotel,Jeddah,219,Superior  Twin Studio,2,8.6,Fabulous,1189,1
العييرى للوحدات السكنية بالقنفذة,Al Qunfudhah,95,Double Room with Private Bathroom,4,5.3,Review score,21,1
Maset Al Masem Al Khobar,Riyadh,300,Double Room with Private Bathroom,2,7.9,Good,648,1
دار شيمة,An Nuqrah,130,Deluxe Double Room,2,0.0,,0,1
Taj Al Khaleej Furnished Units 2,Turayf,150,Deluxe Apartment,2,8.8,Fabulous,116,1
القبة الذهبية1,Riyadh,205,Two-Bedroom Apartment,3,6.6,Review score,180,1
Al Taif Gate Hotel Suites,Taif ,167,One-Bedroom Apartment,1,7.6,Good,4328,1
HDB hotel Sahafa فندق هدب الصحافه,Riyadh,324,Deluxe Double Room,1,7.6,Good,1157,1
Hayaa Hotel,Makkah,70,Double Room with Private Bathroom,2,6.3,Review score,386,1
ريف العلا,Al Ula ,250,King Room,1,7.8,Good,9,1
Nozol Royal Inn Hotel,Madinah,180,Quadruple Room with Bathroom,4,7.0,Good,4108,1
Golden Garden Al Corniche,Dammam,299,King Suite,1,7.2,Good,4641,1
Al Atlal Hotel,Riyadh,207,Double Room,1,6.9,Review score,1353,1
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,705,Deluxe Double Room with City View,1,8.2,Very good,9052,1
فندق المحمل العصري,Sharurah,150,Double Room,1,0.0,,0,1
Ghoson Al Zaitoun Furnished Units,Sakakah  ,130,Double Room,1,7.1,Good,51,1
Lamar Al Bawadi Hotel,Jeddah  ,285,Executive Suite,1,8.0,Very good,1664,1
Home Inn Hotel Suites,Riyadh,210,Junior Suite,2,8.7,Fabulous,818,1
Al Musafer Hotel Riyadh,Riyadh ,142,Twin Room,2,5.9,Review score,608,1
Hilton Garden Inn Riyadh Financial District,Riyadh ,539,King Room,1,7.4,Good,700,1
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,1,8.1,Very good,280,1
Maset Al Masem Al Khobar,Riyadh ,300,Double Room with Private Bathroom,2,7.9,Good,648,1
دار شيمة,Hail,130,Deluxe Double Room,2,0.0,,0,1
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4328,1
ريف العلا,Al Ula,250,King Room,1,7.8,Good,9,1
Oasis Rise Hotel Apartments,Jeddah,207,Studio,1,7.9,Good,490,1
Al Rahaa Furnished Units,Abha,195,Two-Bedroom Apartment,3,7.8,Good,1378,1
بيتي الفاخرللشقق الفندقية,Riyadh,250,One-Bedroom Apartment,2,8.8,Fabulous,11,1
Farah Hotel,Makkah,65,Double Room with Private Bathroom,2,7.2,Good,260,1
الليل لك للاجنحه الفندقيه 2,Hail,182,Two-Bedroom Apartment,2,5.9,Review score,18,1
أجنحة ورد,Madinah,131,Junior Suite,3,5.7,Review score,103,1
Najd Peak By Quiet Rooms,Riyadh ,162,One-Bedroom Apartment,2,5.4,Review score,530,1
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,2,8.1,Very good,280,1
Rafa Homes - Al Falah,Riyadh ,336,Standard One-Bedroom Apartment,1,7.6,Good,982,1
القبة الذهبية1,Riyadh ,205,Two-Bedroom Apartment,3,6.6,Review score,180,1
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4329,1
