hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price
Crown Rose Hotel,Riyadh,360,Superior Twin Room,2,7.8,Good,1139,1,7.037905963447182,5.886104031450156
دار اجواء 2,Riyadh,179,One-Bedroom Apartment,1,0.0,Very good,0,1,-inf,5.187385805840755
Genac Hotel Yanbu,Yanbu,100,Deluxe Double Room,2,7.1,Good,444,1,6.095824562432225,4.605170185988092
العييري للوحدات المفروشة جدة 6,Jeddah,160,Two-Bedroom Apartment,7,5.1,Very good,13,1,2.5649493574615367,5.075173815233827
شاليهات سحاب,Buraydah ,1150,Two-Bedroom Chalet,3,9.1,Superb,14,1,2.6390573296152584,7.047517221357296
شقق بيات العالية بوادي بن هشبل Bayat Al aliah Apartments in Wadi bin Hashbal,Bin Hashbal,130,One-Bedroom Apartment,4,8.9,Fabulous,21,1,3.044522437723423,4.867534450455582
سرو للوحدات السكنية,Al Namas,200,One-Bedroom Villa,1,7.6,Good,425,1,6.052089168924417,5.298317366548036
الحماد للشقق الفندقية - فرع قريش,Jeddah,120,One-Bedroom Apartment,1,7.2,Good,1836,1,7.515344571180436,4.787491742782046
Loalat Al Rowdah Family,Jeddah,210,Apartment,2,7.8,Good,466,1,6.144185634125646,5.3471075307174685
شقق عمار - شقق خاصة,Al Ula,217,Budget Double Room,2,8.0,Good,67,1,4.204692619390966,5.37989735354046
العييرى للوحات المفروشة جدة4,Jeddah,85,Twin Room with Bathroom,2,3.8,Very good,20,1,2.995732273553991,4.442651256490317
Mena Andalusia Riyadh,Riyadh,213,Standard Room Twin,1,7.2,Good,3261,1,8.089789175789319,5.3612921657094255
Gardino Hotel & Residence - فندق جاردينو,Riyadh,698,Deluxe Room,1,8.7,Fabulous,365,1,5.8998973535824915,6.548219102762372
Al Andalus Palace 1 Hotel Haram فندق قصر الاندلس 1 الحرم,Madinah,170,Deluxe King Room,1,6.4,Very good,3257,1,8.088561805276234,5.135798437050262
Almasem Luxury Hotel suite 6,Riyadh,219,Economy Twin Room,2,7.6,Good,495,1,6.20455776256869,5.389071729816501
Golden Abha,Abha,74,Deluxe King Room,1,5.5,Very good,1216,1,7.103322062526113,4.30406509320417
Iris Boutique Taif Heart,Taif,297,Deluxe Queen Room,1,8.6,Fabulous,1354,1,7.21081845347222,5.6937321388027
Super 8 Al Riyadh,Riyadh,340,King Room - Non-Smoking,1,6.9,Very good,708,1,6.56244409369372,5.8289456176102075
رانا الخليجية - rana alkhaleejiah,Riyadh,230,One-Bedroom Apartment,1,7.7,Good,17,1,2.833213344056216,5.438079308923196
إبريز الحجاز Amarena سابقا,Jeddah,111,Economy Double Room,1,7.0,Good,167,1,5.117993812416755,4.709530201312334
دارك للشقق المفروشة,Al Ula,300,Two-Bedroom Apartment,3,7.2,Good,179,1,5.187385805840755,5.703782474656201
Raihat Al Bustan Furnished Units,Haradh,180,Budget Double Room,2,6.4,Very good,8,1,2.0794415416798357,5.19295685089021
شقق درة الجوف,Riyadh,120,Large Double Room,1,6.8,Very good,35,1,3.5553480614894135,4.787491742782046
Rawabi Al Khobar Hotel,Riyadh,275,Standard Double Room,1,7.4,Good,369,1,5.910796644040527,5.616771097666572
Orchida Al Hamra,Riyadh,111,King Studio,1,5.8,Very good,15,1,2.70805020110221,4.709530201312334
عابر خميس مشيط,Khamis Mushayt,251,Superior Double Room,1,8.3,Good,402,1,5.996452088619021,5.5254529391317835
شاليهات القمر,Taif,470,Two-Bedroom Chalet,3,9.2,Superb,13,1,2.5649493574615367,6.152732694704104
Areen ApartHotel,Riyadh,171,Economy Double Room,1,7.4,Good,521,1,6.255750041753367,5.14166355650266
Al Eairy Apartment-Alqaseem 1,Buraydah,99,Twin Room,2,4.8,Very good,352,1,5.863631175598097,4.59511985013459
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic,1259,Apartment,5,9.4,Superb,7,1,1.9459101490553132,7.138073034044347
ريف عسير للشقق المفروشة,Khamis Mushayt,125,Deluxe Double Room,1,7.5,Good,34,1,3.5263605246161616,4.8283137373023015
Views Hotel & Residences,King Abdullah Economic,764,Studio with Courtyard View,1,8.3,Good,7034,1,8.858510813033927,6.638567789166521
Swiss International Taba Alsalam,Madinah,260,Double Room with Private Bathroom,1,7.7,Good,4439,1,8.398184404834035,5.560681631015528
Fakher Yanbu Hotel,Yanbu ,98,Studio,1,7.0,Good,1571,1,7.359467638255621,4.584967478670572
Le Park Shaqra,Shaqra ,340,Superior Suite,1,9.0,Superb,114,1,4.736198448394496,5.8289456176102075
Orchida Turaif Hotel 1,Turayf,125,Twin Room,2,6.0,Very good,23,1,3.1354942159291497,4.8283137373023015
Diamond Suites,Madinah,156,Economy Double Room,1,7.1,Good,144,1,4.969813299576001,5.049856007249537
شاليهات نيو فيو الفندقيه,Taif,675,One-Bedroom Chalet,2,0.0,Very good,0,1,-inf,6.51471269087253
