,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url,cm
14,Hotel Ritaj Alsahel,Yanbu Show on map,SAR 200,"1 night, 2 adults",Deluxe Room,1 large double bed,7.9,Good,849 reviews,"/hotel/sa/la-fontaine-revalhotel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=269109002_125990001_2_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=765&highlighted_blocks=269109002_125990001_2_1_0&hpos=15&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=269109002_125990001_2_1_0__20000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
15,سكن وسط الطبيعة,Umm Lajj Show on map,SAR 372,"1 night, 2 adults",One-Bedroom House,2 single beds,9.7,Exceptional,6 reviews,"/hotel/sa/skn-wst-ltby.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=709544001_309601720_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=766&highlighted_blocks=709544001_309601720_2_0_0&hpos=16&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=709544001_309601720_2_0_0__37170&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
16,Diamond Elite Hotel,Jazan Show on map,SAR 225,"1 night, 2 adults",Twin Room,2 single beds,8.2,Very good,"1,272 reviews","/hotel/sa/diamond-elite-corner.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=509702405_182542856_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=767&highlighted_blocks=509702405_182542856_2_0_0&hpos=17&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=509702405_182542856_2_0_0__22500&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
17,حياة ريف للوحدات السكنية,"Al Salamah, Jeddah Show on map",SAR 143,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.7,Good,278 reviews,"/hotel/sa/hy-ryf-1-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=701762703_295976903_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=768&highlighted_blocks=701762703_295976903_0_0_0&hpos=18&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=701762703_295976903_0_0_0__14250&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
18,Ewaa Express Hotel - Gaber,Riyadh Show on map,SAR 375,"1 night, 2 adults",Suite,1 large double bed,8.9,Fabulous,562 reviews,"/hotel/sa/yw-ksbrys-lryd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=589804301_236146796_2_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=769&highlighted_blocks=589804301_236146796_2_1_0&hpos=19&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=589804301_236146796_2_1_0__37500&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
19,"Radisson Blu Residence, Dhahran","Al Olayya, Al Khobar Show on map",SAR 349,"1 night, 2 adults",Standard Room,1 large double bed,8.3,Very good,"2,955 reviews","/hotel/sa/radisson-blu-residence-dhahran.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=217779701_295322061_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=770&highlighted_blocks=217779701_295322061_2_2_0&hpos=20&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=217779701_295322061_2_2_0__34900&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
20,Al kharboush For Furnished Units,Hafr Al Baten Show on map,SAR 148,"1 night, 2 adults",Deluxe Room (2 Adults + 1 Child),1 large double bed,8.2,Very good,824 reviews,"/hotel/sa/al-kharboush-for-furnished-units.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=285217101_276318062_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=771&highlighted_blocks=285217101_276318062_2_0_0&hpos=21&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=285217101_276318062_2_0_0__14800&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
21,فندق كراون نجران,Najran Show on map,SAR 199,"1 night, 2 adults",Family Room with Private Bathroom,1 large double bed,6.5,Review score,56 reviews,"/hotel/sa/fndq-krwn-njrn-njrn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=708691001_332449995_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=772&highlighted_blocks=708691001_332449995_2_0_0&hpos=22&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=708691001_332449995_2_0_0__19900&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
22,Retaj Al Bayt Suites,"Ajyad, Makkah Show on map",SAR 315,"1 night, 2 adults",Standard Twin Room,2 single beds,7.7,Good,"3,361 reviews","/hotel/sa/retaj-al-bayt-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=118079610_327280204_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=773&highlighted_blocks=118079610_327280204_0_0_0&hpos=23&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=118079610_327280204_0_0_0__31470&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
23,قولدن سكوير طريق الرياض Golden Square Riyadh Road,Khamis Mushayt Show on map,SAR 280,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 sofa bed, 1 large double)",9.0,Superb,755 reviews,"/hotel/sa/golden-square.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=403490801_241342489_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=774&highlighted_blocks=403490801_241342489_2_0_0&hpos=24&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=403490801_241342489_2_0_0__28000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
24,Al Ghufran Safwah Hotel Makkah,"Ajyad, Makkah Show on map",SAR 309,"1 night, 2 adults",Superior Double Room,2 single beds,8.8,Fabulous,"7,301 reviews","/hotel/sa/dar-al-ghufran-makkah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=31988901_91921463_0_34_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=775&highlighted_blocks=31988901_91921463_0_34_0&hpos=25&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=31988901_91921463_0_34_0__30900&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
