hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Le Meridien Towers Makkah,Makkah ,130,"Diplomatic Room, Twin/Single Beds",2,7.5,Good,4137,28
Novotel Jeddah Tahlia,Jeddah,396,Superior Double Room with Sofa Bed,1,8.0,Good,2787,28
"Assila, a Luxury Collection Hotel, Jeddah",Jeddah,950,"Deluxe Guest Room, 1 King, City View",1,8.9,Fabulous,789,35
M Hotel Al Dana Makkah by Millennium,Makkah ,136,Standard Double Room,1,8.5,Good,1900,29
Aronani Hotel,Hail ,290,Standard  Room,2,6.9,Very good,914,35
Nights Jeddah Hotel,Jeddah ,240,Standard King Room,1,7.5,Good,3166,30
Golden Dune Hotel & Suite,Riyadh  ,359,Superior Double Room,1,8.1,Good,3176,37
Snood Al Azama Hotel,Makkah  ,85,Double or Twin Room,2,7.3,Good,2776,28
Park Inn by Radisson Jeddah Madinah Road,Jeddah,414,Standard Room,1,8.5,Good,1455,40
Rose White Hotel,Jeddah,325,Double Room,1,8.2,Good,444,28
Golden Dream Hotel,Khamis Mushayt  ,340,Standard Double Room,1,8.1,Good,366,28
"Burj Rafal Riyadh, a Marriott International Hotel",Riyadh  ,1000,"Deluxe, Guest room, 1 King, City view",1,7.9,Good,4620,35
Patto Suites,Al Baha ,180,Standard Apartment,1,6.7,Very good,1165,29
"The Ritz-Carlton, Riyadh",Riyadh  ,1400,Deluxe Guest Room With Twin Beds,1,8.6,Fabulous,3335,35
Dabab Hotel By Warwick,Riyadh ,450,Junior Suite,1,7.5,Good,2881,30
Adagio Jeddah City Center,Jeddah ,349,Double Studio,1,8.4,Good,166,37
Sukna Almosafer,Unayzah,140,Double Room,1,6.8,Very good,251,28
Ramada by Wyndham Hotel Riyadh,Riyadh  ,330,Classic King Room - Smoking,1,7.2,Good,1800,40
Snood Al salam,Makkah  ,105,Quadruple Room with Bathroom,4,7.7,Good,1976,28
Makarem Umm Al Qura Hotel,Makkah  ,175,Deluxe Twin Room,2,7.7,Good,6673,28
Hilton Riyadh Hotel & Residences,Riyadh  ,750,King Guest Room - Accessible,1,7.5,Good,10004,35
Hilton Garden Inn Riyadh Olaya,Riyadh ,325,Twin Room Plus,2,7.2,Good,590,29
فندق قمر جدة Qamar Hotel Jeddah,Jeddah,441,Standard Double Room,2,8.6,Fabulous,207,35
Taiba Madinah Hotel,Madinah,360,"Superior Room Twin bed, City View",1,8.0,Good,1292,30
Dist Inn Aparthotel,Hail,480,Penthouse Apartment,1,7.2,Good,816,37
Elaf Al Mashaer Hotel Makkah,Makkah  ,190,transient single room city view,1,7.5,Good,3944,28
Shada Hotel Al Shati,Jeddah,572,King Junior Room,1,8.8,Fabulous,1369,40
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,Riyadh ,525,King Guest Room,1,7.7,Good,3339,28
Lamar Ajyad Hotel 2 - Tower B,Makkah  ,131,Deluxe King Room,1,7.8,Good,2571,28
Wakan Kinan,Jeddah,318,Suite,3,7.6,Good,664,35
Benzart Hotel Apartments,Ad Dawadimi,260,Deluxe Two-Bedroom Apartment,3,8.5,Good,254,29
"Prime Hotel - Jeddah, Al Hamra",Jeddah ,350,Junior Suite,1,8.3,Good,4858,35
Centro Shaheen Jeddah by Rotana,Jeddah,307,Queen Room,1,7.9,Good,3416,30
Lamar Ajyad Hotel,Makkah,145,Deluxe King Room,1,7.8,Good,2725,37
Centro Olaya by Rotana,Riyadh ,490,Queen Room,1,7.9,Good,4132,28
"Marriott Executive Apartments Riyadh, Convention Center",Riyadh  ,950,One-Bedroom Apartment,1,8.2,Good,1112,40
VERTA Hotel,Jeddah,405,Executive Suite,1,7.9,Good,1113,28
Holiday Suites Al Aziziah,Makkah,220,Deluxe Twin Room,2,8.1,Good,10838,28
Motiara Hotel - La Valle Mall,Riyadh,490,Deluxe King Suite,1,8.1,Good,665,35
Seven Garden's Palace,Taif,314,Deluxe Room,1,9.3,Superb,875,29
Ramada by Wyndham Continental Jeddah,Jeddah,350,1 King Bed Superior Room,1,7.9,Good,1633,35
Le Meridien Makkah,Makkah,330,"Twin Haram View, Guest room, 2 Twin/Single Bed(s), City view",2,7.8,Good,5050,30
Hyatt Place Riyadh Sulaimania,Riyadh,500,King Room,1,8.6,Fabulous,1196,37
Marina Hotel,Rayyis,500,Two-Bedroom Apartment,3,8.3,Good,360,28
Signature Hotel,Jeddah,282,King Room,1,8.8,Fabulous,136,40
Shada Hotel Salama,Jeddah,401,Standard Queen Room,1,8.9,Fabulous,4798,28
Marriott Riyadh Diplomatic Quarter,Riyadh,1150,"Deluxe Room, Guest room, 1 King",1,8.4,Good,284,28
Mövenpick Hotel Jeddah,Jeddah ,333,Classic King Room,1,7.8,Good,3848,35
Al Waha Palace Hotel,Riyadh ,413,Deluxe King Room,1,7.9,Good,1995,29
Radisson Blu Hotel Riyadh Qurtuba,Riyadh,650,Standard Room,1,7.9,Good,413,35
Millennium Makkah Al Naseem,Makkah,143,Standard King Room,1,8.2,Good,5424,30
Swiss Spirit Hotel & Suites Taif,Taif,179,Large Double Room,1,7.3,Good,776,37
Grand Plaza Gulf Hotel - Riyadh,Riyadh,800,Executive Suite,1,8.0,Good,3024,28
Broad ApartHotel,Taif ,759,VIP Suite,1,8.6,Fabulous,781,40
Golden Tulip Riyadh,Riyadh,450,Classic Rooms King,1,9.3,Superb,146,28
Sanam Hotel Suites - Riyadh,Riyadh ,299,Junior Suite,1,7.4,Good,2315,28
القصر المميز خميس مشيط,Khamis Mushayt,134,Deluxe Double Studio,1,7.9,Good,281,35
The Ritz-Carlton Jeddah,Jeddah  ,1575,"Deluxe Room, 2 Twin/Single Bed(s), City View",2,9.0,Superb,1340,29
Al Mutlaq Hotel Riyadh,Riyadh  ,270,Single Room,1,7.8,Good,551,35
Staytion First - Al Zahra,Jeddah,200,Studio Apartment,1,8.8,Fabulous,972,30
InterContinental Al Jubail Resort,Al Jubail,899,Standard Double or Twin Room,2,8.2,Good,1968,37
Riyadh Airport Marriott Hotel,Riyadh,1200,Deluxe Guest Room with Two Double Beds and Courtyard View,1,8.0,Good,1723,28
شاطئ الحياة للأجنحة الفندقية,Jeddah ,242,Studio,1,8.1,Good,380,40
فندق زوايا الماسية,Madinah,179,Studio,1,8.7,Fabulous,209,28
فندق فرج المدينه FARAJ ALMADINA HOTEL,Madinah,187,Budget Double Room,1,9.0,Superb,134,28
WA Hotel,Jeddah,1320,Deluxe Family Room,2,9.5,Exceptional,15,35
"Crowne Plaza Hotel Riyadh Minhal, an IHG Hotel",Riyadh,445,Deluxe King Room - Smoking,1,8.7,Fabulous,1316,29
Loalat Al Rowdah Family,Jeddah,320,Two-Bedroom Apartment,4,7.8,Good,463,35
Almasem Luxury Hotel suite 6,Riyadh  ,259,Studio,1,7.6,Good,494,30
Sheraton Makkah Jabal Al Kaaba Hotel,Makkah  ,210,"Traditional Double City V, Guest room, 2 Twin/Single Bed(s)",2,7.6,Good,1641,37
"Al Faisaliah Hotel, Riyadh",Riyadh ,1695,Superior Room King,1,8.2,Good,1398,28
Rotana Residence Apartments,Jeddah ,252,One-Bedroom Apartment,2,7.6,Good,635,40
Narcissus Hotel and SPA Riyadh,Riyadh  ,1100,Double Room,1,8.6,Fabulous,3439,28
Kyona Gold-Obhur,Jeddah  ,522,One-Bedroom Apartment,1,8.7,Fabulous,29,28
Braira Hotel-Olaya,Riyadh  ,522,Superior Double Room,1,8.6,Fabulous,3365,35
الفخامة للشقق الفندقية,Madinah,133,Deluxe Double Room,1,7.7,Good,80,29
South Hotel Suites,Khamis Mushayt,450,Deluxe Suite,3,8.9,Fabulous,351,35
Al Waleed Tower Hotel,Makkah,118,Double Room,1,8.2,Good,2810,30
Habitat Hotel All Suites - Jeddah,Jeddah,475,Junior Suite with Twin Bed,3,8.0,Good,2220,44
Grand Silverton Hotel,Al Khobar,450,Superior Double Room,1,8.2,Good,2568,28
"Dar Al Tawhid Intercontinental Makkah, an IHG Hotel",Makkah,690,Standard Room,2,8.8,Fabulous,5319,40
RAND by Wandalus (Formerly Coral Riyadh Suliemaniah),Riyadh ,400,Deluxe Double Room,1,7.6,Good,597,28
Gardens View,Taif,243,One-Bedroom Apartment,1,7.3,Good,318,28
Al Ramla Al Hamra Hotel,Taif,254,One-Bedroom Suite,1,8.4,Good,592,35
Al Rahaa Furnished Units,Abha,169,One-Bedroom Apartment,1,7.8,Good,1378,29
Mandaren Suites,Taif,400,Two-Bedroom Apartment,3,8.7,Fabulous,251,35
Al Rawda Jewel Apartment Hotel,Jeddah ,245,Deluxe Apartment,1,8.0,Good,512,30
Dior Inn Hotel,Jeddah,360,Superior King Room,1,9.0,Superb,1411,37
Elite Suites Hotel - Al sahafah,Riyadh,450,One-Bedroom Apartment,1,7.9,Good,569,28
Nadra Furnished Apartments,Taif,300,Two-Bedroom Apartment,3,6.8,Very good,268,40
Narcissus Hotel and SPA Riyadh,Riyadh,1100,Double Room,1,8.6,Fabulous,3439,28
Braira Hotel-Olaya,Riyadh ,522,Superior Double Room,1,8.6,Fabulous,3365,28
Habitat Hotel All Suites - Jeddah,Jeddah  ,500,Junior Suite with Twin Bed,3,8.0,Good,2220,35
Grand Silverton Hotel,Al Khobar ,450,Superior Double Room,1,8.2,Good,2568,29
Howard Johnson Dammam Hotel,Dammam,349,King Room with City View - Non-Smoking,1,7.7,Good,1868,35
Dior Inn Hotel,Jeddah  ,360,Superior King Room,1,9.0,Superb,1411,30
Elite Suites Hotel - Al sahafah,Riyadh  ,450,One-Bedroom Apartment,1,7.9,Good,569,37
Makkah Towers,Makkah  ,350,2 Single Guestroom City View,3,8.0,Good,6138,28
Nadra Furnished Apartments,Taif  ,300,Two-Bedroom Apartment,3,6.8,Very good,268,40
"Al Ahsa InterContinental, an IHG Hotel",Al Hofuf,602,Deluxe King Room - Non-Smoking,1,8.1,Good,996,28
Andalus Habitat Hotel,Jeddah,596,Studio with Sofa Bed,1,8.6,Fabulous,384,28
Sadeem Hotel Suites2,Jeddah,449,Two-Bedroom Suite,3,8.3,Good,405,35
Iwan Alandalusia Al Ajaweed,Jeddah,230,Deluxe Double or Twin Room,2,7.8,Good,444,29
Sea Club Resort(Families only),Dammam,1000,Three-Bedroom Chalet with Private Pool,5,7.3,Good,681,77
Delmon Hotel Suites,Jeddah ,225,One-Bedroom Apartment,3,6.7,Very good,171,30
Holiday Khaleej Hotel,Riyadh,495,Deluxe Double Room,2,8.2,Good,3642,37
Le Meridien Medina,Madinah,320,"High Floor Standard King Bed, Sofa bed",1,7.9,Good,1798,28
Nights Silence- Furnished Appartement By Kyan,Khamis Mushayt,235,Junior Suite,1,8.4,Good,731,40
Dallah Taibah Hotel,Madinah,760,Executive Suite,1,9.2,Superb,6872,28
الاريام للاجنحة الفندقية,Buraydah,350,Junior Suite,2,8.4,Good,207,28
Elaf Jeddah Hotel - Red Sea Mall,Jeddah,600,Deluxe King Room,1,7.3,Good,3794,35
Quiet Dreams - Quraysh Branch,Jeddah ,200,One-Bedroom Apartment,1,8.2,Good,749,29
Sheraton Dammam Hotel & Convention Centre,Dammam ,515,"Classic Room, Guest room, 1 King, City view, Low floor",1,7.4,Good,1953,35
Donatello Jeddah Hotel,Jeddah,440,Junior Suite,1,8.4,Good,387,30
Zwarah Hotel Suites,Jeddah,221,Studio (2 Adults),1,7.2,Good,218,37
Hayat Al Rose Hotel Appartment,Jeddah  ,203,Superior Double Room,1,8.3,Good,273,28
Pinetree Suites Hail,Hail,291,Standard Suite,2,7.9,Good,466,40
Swiss International Royal Hotel Riyadh,Riyadh,645,Executive Room,1,8.0,Good,1431,37
"voco - Riyadh, an IHG Hotel",Riyadh,630,Standard Room,1,8.3,Good,2254,28
شقق درر رامه 5,Riyadh,200,Studio,1,6.1,Very good,186,35
Kempinski Al Othman Hotel Al Khobar,Al Khobar,797,Deluxe Twin Room,2,8.3,Good,4387,29
Retaj Hotel Apartments,Riyadh,200,Deluxe Room,1,6.8,Very good,128,35
Orian Hotel,Jeddah,190,Studio Apartment,1,7.8,Good,154,30
The First Tower Hotel,Al Jubail,189,Standard Studio,1,8.3,Good,201,37
Aswar Hotel Suites Riyadh,Riyadh,563,Studio,1,8.5,Good,1463,28
"InterContinental Riyadh, an IHG Hotel",Riyadh,716,Standard Room,1,7.8,Good,1265,36
Ghalia Uhod,Madinah,270,One-Bedroom Apartment with Living,1,8.2,Good,1077,28
Mövenpick Hotel Al Khobar,Al Khobar,900,Premium King Room,1,8.2,Good,2398,28
Hilton Suites Makkah,Makkah,475,King Room City View,1,8.8,Fabulous,7876,35
The Venue Jeddah Corniche,Jeddah,739,Deluxe King Room with City View City Tower,1,7.6,Good,4725,29
Rose Palace Furnished Units,Abha,342,شقه من غرفتى نوم بدون صاله,3,8.1,Good,292,35
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,Family Studio,1,7.7,Good,37,30
أبها بارادايس - عوائل,Abha,380,One-Bedroom Chalet,1,8.5,Good,314,37
Brand Al Qassim Hotel,Buraydah,540,Twin Room - Disability Access,2,8.9,Fabulous,261,28
Mrakez Alarab Furnished Apartments 3,Jeddah,250,Two-Bedroom Apartment,3,7.9,Good,63,40
Ascott Rafal Olaya Riyadh,Riyadh ,2257,Two-Bedroom Executive,2,7.2,Good,5072,28
Fraser Suites Riyadh,Riyadh,1035,Executive One Bedroom Suite,1,7.9,Good,4110,28
Adagio Aparthotel Jeddah Malik Road,Jeddah,570,One-Bedroom Apartment,1,8.2,Good,862,35
Dist Inn Aparthotel 2,Hail ,200,Deluxe Studio,1,7.3,Good,169,29
Al Fahad Hotel Suites Al Tahliya,Jeddah,198,Budget Double Room,1,8.1,Good,649,35
Ascott Tahlia Jeddah,Jeddah,473,Executive Studio,1,7.6,Good,4212,30
Al Louloah Al Baraqah Furnished Apartments,Jeddah,176,Standard Single Room,1,8.5,Good,87,37
"Habitat All Suites, Al Khobar",Al Khobar,950,Royal Suite,1,7.7,Good,3802,28
Rahat Al Bal Furnished Units,Jeddah  ,204,Family Studio,2,8.2,Good,293,40
Season Star Hotel Madinah فندق سيزون ستار المدينة,Madinah,280,Deluxe Twin Room,2,8.9,Fabulous,254,28
Dara Hamra,Jeddah,520,Studio Apartment,1,8.7,Fabulous,1092,28
منازل الجميرة للشقق الفندقية,Jeddah,182,One-Bedroom Apartment,2,8.0,Good,43,35
E1 Hotel,Riyadh ,300,Deluxe Apartment,1,7.3,Good,97,29
Makkah Hotel,Makkah,474,1 King Guestroom,1,8.7,Fabulous,4506,35
منازل الساهر للوحدات السكنية فرع 2,Al Qunfudhah,250,One-Bedroom Apartment,2,7.0,Good,38,30
Dara Al Salam,Jeddah,467,Suite Studio,1,9.0,Superb,1438,37
Enwan Suites Hotel,Al Jubail,199,King Studio,1,8.3,Good,12,28
Orans Suites 4,Jeddah,413,Royal Studio,1,7.9,Good,287,40
"InterContinental Al Khobar, an IHG Hotel",Al Khobar,1299,Standard King Room,1,8.4,Good,1131,28
Casablanca Grand Hotel,Jeddah,1350,Executive Suite,2,9.0,Superb,3938,28
Mrakez Alarab Furnished Apartments 3,Jeddah ,250,Two-Bedroom Apartment,3,7.9,Good,63,35
Ascott Rafal Olaya Riyadh,Riyadh,2144,Two-Bedroom Executive,2,7.2,Good,5072,29
Fraser Suites Riyadh,Riyadh,983,Executive One Bedroom Suite,1,7.9,Good,4110,35
Braira AL Wezarat,Riyadh,299,Superior Double Room,1,8.5,Good,2774,30
Dist Inn Aparthotel 2,Hail,200,Deluxe Studio,1,7.3,Good,169,37
Ascott Tahlia Jeddah,Jeddah,449,Executive Studio,1,7.6,Good,4212,28
"Habitat All Suites, Al Khobar",Al Khobar,903,Royal Suite,1,7.7,Good,3802,40
Rahat Al Bal Furnished Units,Jeddah,204,Family Studio,2,8.2,Good,293,28
Al Balad Inn Corniche,Jeddah,333,Junior Suite,1,7.3,Good,582,28
E1 Hotel,Riyadh,300,Deluxe Apartment,1,7.3,Good,97,35
Makkah Hotel,Makkah,450,1 King Guestroom,1,8.7,Fabulous,4506,29
Madareem Crown Hotel,Riyadh,578,Standard Single Room,1,7.3,Good,645,35
"Park Hyatt Jeddah - Marina, Club and Spa",Jeddah,1500,King Room,1,8.0,Good,1527,30
شقق قصر العنوان الفندقية,Dammam,612,Junior Suite,1,9.1,Superb,248,37
Beach Time Villas Hotel - Family Villas,Jeddah,1458,Three-Bedroom Villa,5,7.9,Good,675,28
Al Balad Inn Al Mishkat,Jeddah,268,Deluxe Apartment,1,6.6,Very good,86,40
Waldorf Astoria Jeddah - Qasr Al Sharq,Jeddah,1340,Qasr King Room,2,9.1,Superb,289,28
Marriott Executive Apartments Madinah,Al Madinah,584,"Studio Apartment, 2 Double, Sofa bed, Garden view",3,9.0,Superb,895,28
Mnazel Jawraq,Riyadh,1665,Villa with Private Pool,4,8.8,Fabulous,58,35
Alreef Diamond Villas,Taif,1500,Standard Villa,1,9.0,Superb,101,29
Rolana Furnished Apartments,Jeddah,189,Deluxe Studio,1,7.5,Good,40,35
Kadi Hotel,Najran,177,One-Bedroom Suite,2,7.9,Good,43,30
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,306,Apartment with Mountain View,1,8.2,Good,1005,37
Al Meshan Hotel,Madinah,120,Double or Twin Room with Bathroom,1,6.8,Very good,55,28
فندق الكامل,Makkah,250,Double or Twin Room,1,8.6,Fabulous,52,40
فندق برج الإبريز,Baish,238,King Room,1,7.7,Good,186,28
Raoum Inn Shaqra,Shaqra,180,Deluxe Junior Suite,1,6.6,Very good,188,28
Al Lord Hotel,Hafr Al Baten,200,Studio Apartment,1,7.6,Good,89,35
Khabti Grand Hotel,Bishah,420,Standard Double Room,1,8.3,Good,1310,29
Golden Sea Hotel,Obhor,219,Deluxe Single Room,1,8.2,Good,171,35
Central Park Hotel Bisha فندق سنترال بارك بيشة,Khamis Mushayt,309,Superior King Room,1,8.2,Good,195,30
Desert Rose Motel,Al Ghat,150,Family Room with Private Bathroom,1,0.0,Very good,0,37
Golden Dune Hotel,Turayf ,180,Superior King Room,1,9.0,Superb,1733,28
قصر البالود 2,Riyadh ,220,Three-Bedroom Suite,5,8.9,Fabulous,228,80
Lavana Furnished Apartments Jeddah,Riyadh,500,Family Studio,3,9.0,Superb,48,28
Nakheel Moon Aparthotel,Riyadh,230,Deluxe Room,1,6.7,Very good,51,28
زيد للأجنحة الفندقية - Zaid Hotel Suites,Turayf,172,Deluxe Double Room,2,8.9,Fabulous,41,35
Le Park Concord Hotel,Riyadh,185,Deluxe Single Room,1,9.0,Superb,423,29
Almudawah Hotel,Turayf,160,Superior Single Room,1,8.3,Good,119,35
اجنحة ياقوتة المدينة,Madinah,250,King Studio,1,9.2,Superb,6,30
Mohamadia Al Zahra Hotel,Madinah,130,Superior King Room,1,7.5,Good,1407,37
ربوة الصفوة Rabwat Al-Safwah 8,Madinah,105,King Room,1,7.6,Good,14,28
MENA AL DIYAR 114,Riyadh ,55,Small Single Room,1,6.3,Very good,290,40
Sharurah Plaza Hotel,Sharurah,200,One-Bedroom Apartment,3,8.7,Fabulous,294,28
Ladera Hotel Tanomah,Tanomah,300,Studio,1,7.2,Good,163,28
Al Jahwah hotel by AL BALAD INN,Asir,200,Deluxe Double Room (2 Adults + 1 Child),1,8.1,Good,398,35
Al Andlus Palace 2 Hotel Kurban فندق قصر الاندلس 2 قربان,Madinah,160,Large Double Room,2,7.9,Good,58,29
Qemam Al Safwah Grand Hotel,Rafha,135,Double Room,1,5.9,Very good,19,35
Rabigh Park Hotel,Rabigh,288,Deluxe Double Room,1,8.0,Good,530,30
منتجع جيدا بارك,Riyadh,500,Cottage with Garden View,3,8.7,Fabulous,361,37
Kyona Purple -Al Qurayat,Jeddah,140,Studio,2,8.4,Good,77,28
Milan Hotel,Makkah,285,One-Bedroom Apartment,1,7.6,Good,15,40
Al Rawda Al Aqeeq Hotel,Madinah,161,Standard Twin Room,2,7.2,Good,3503,28
Jawharat Al Amaken Hotel,Tayma,230,One-Bedroom Apartment,1,8.7,Fabulous,160,28
manzel aram 105,Riyadh,55,Small Single Room,1,5.7,Very good,701,35
فندق جولدن العرين,Abha ,154,Budget Double Room,1,9.9,Exceptional,127,29
فندق العروبة,Riyadh,89,King Studio,1,6.1,Very good,2407,35
Faifa Hotel,Fayfa,1210,Superior Suite,1,7.0,Good,302,30
العييري للوحدات المفروشة الباحة3,Al Baha,110,Double Room with Private Bathroom,2,3.7,Very good,72,37
Anwar Al Zahraa Hotel,Madinah,100,Double Room,2,7.3,Good,259,28
OYO 242 Al Ahlam Resort Al Leith,Al Lith,385,Standard Studio Double,1,6.5,Very good,333,40
Ebreez Hotel,Jeddah,239,Deluxe King Room,1,7.5,Good,2247,28
Hawadah Hotel,Jeddah,245,Double Room with Sea View,2,7.3,Good,460,40
شدون للوحدات السكنية,Buraydah,144,Economy Double Room,1,6.9,Very good,170,35
فندق رحابة Rahabah Hotel,Madinah,158,Budget Double Room,1,7.2,Good,13,29
Acacia Aparthotel,Jeddah,180,Standard Studio,2,7.4,Good,1387,35
Al Muhaidb Residence Al Dawadmi,Riyadh,350,Two-Bedroom Apartment,3,8.7,Fabulous,663,48
Rayat Alshalal Hotel 2,Hafr Al Baten,315,Deluxe Double or Twin Room,1,8.2,Good,91,37
Rabigh Tower Hotel,Rabigh,140,Double Room,1,5.5,Very good,210,28
دالين جدة,Jeddah ,160,Studio,1,0.0,Very good,0,40
الديوان للوحدات السكنية,Makkah ,130,One-Bedroom Apartment,1,5.1,Very good,62,28
Plaza Business Hotel,Riyadh,231,Standard Double or Twin Room,2,6.6,Very good,3576,28
ارياف القهيب للشقق المفروشه بالطايف,Taif,115,One-Bedroom Apartment,1,0.0,Very good,0,35
القصر المميز للوحدات السكنية,Riyadh,107,One-Bedroom Apartment,1,6.5,Very good,13,29
ASTER HOTEL,Jeddah ,285,Deluxe Double Room with Side Sea View,1,7.6,Good,1401,35
ريف الهجرة للوحدات السكنية,Al ‘Awālī,122,Deluxe Single Room,1,7.4,Good,135,30
فندق سبال,Madinah,140,Double Room,2,6.4,Very good,227,37
Sama Inn Hotel,Riyadh,254,Superior Single Room,1,7.8,Good,310,28
Al Kiswah Towers Hotel,Makkah,99,Standard Double or Twin Room,2,8.2,Good,5241,40
دوفيل ان,Şabyā,350,Deluxe King Room,1,8.3,Good,72,28
رواح للوحدات السكنية,Jeddah,190,One-Bedroom Apartment,2,7.5,Good,180,28
Saif Boutique Hotel International,Al Qassim ,315,Classic King Room,1,7.6,Good,455,35
استراحة قطوف الورد بالطايف,Taif,500,Deluxe Room (2 Adults + 1 Child),1,0.0,Very good,0,29
شقق بيات العالية بوادي بن هشبل Bayat Al aliah Apartments in Wadi bin Hashbal,Khamis Mushayt,130,One-Bedroom Apartment,4,8.9,Fabulous,21,35
سرو للوحدات السكنية,Al Namas,250,One-Bedroom Villa,1,7.6,Good,425,30
Mena Andalusia Riyadh,Riyadh ,213,Standard Room Twin,1,7.2,Good,3259,37
Bhadur Resort Jeddah,Obhor,600,Standard  Room,1,5.7,Very good,852,28
Quartz Executive كوارتز التنفيذية,Abha,322,Superior Suite,2,8.5,Good,87,40
رواسل,Jeddah,208,Two-Bedroom Apartment,4,8.1,Good,79,56
Almuhaidb Residence Al Jubail,Al Jubail,270,Standard King Room,1,7.7,Good,1595,28
فندق العرب إن,Riyadh,80,Budget Triple Room,3,7.3,Good,33,59
Royal El Naser Hotel,Al Khobar,200,Budget Single Room,1,5.4,Very good,374,29
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,215,Deluxe King Studio,1,8.0,Good,863,35
Crown Rose Hotel,Riyadh,360,Superior King Room,1,7.8,Good,1139,30
دار اجواء 2,Riyadh,179,One-Bedroom Apartment,1,0.0,Very good,0,37
بسمة,Abha  ,119,Two-Bedroom Apartment,2,5.5,Very good,24,60
Aber Al Takhassusi,Riyadh,495,Deluxe King Room,1,8.5,Good,535,40
فندق العاصمة,Riyadh,105,Double Room,1,6.0,Very good,44,28
Rollins Hotel,Buraydah,279,King Suite,1,8.0,Good,2014,28
فندق حديقة القصور,Jazan,212,Economy Double Room,1,8.0,Good,71,35
Obaer Hotel,Riyadh,350,Deluxe King Room,1,7.3,Good,2799,29
وارفة للشقق المفروشة,Jeddah ,170,Studio,1,7.1,Good,406,35
لوس للشقق المفروشة,Riyadh,150,Studio,1,6.1,Very good,65,30
A H Hotel,Jeddah,158,Studio,1,8.1,Good,2121,37
سرور,Riyadh ,55,Single Room,1,0.0,Very good,0,28
Al Nabarees Al Masi Hotel,Jeddah,106,Deluxe Twin Room,2,6.5,Very good,1693,40
Golden Tulip Hail,Hail,318,Executive Room,1,6.5,Very good,1797,28
Adwaa Rafa,Al Kharj,113,Deluxe Room (2 Adults + 1 Child),1,7.5,Good,659,28
ريف عسير للشقق المفروشة,Khamis Mushayt,123,Single Room,1,7.5,Good,34,35
Orchida Turaif Hotel 1,Turayf,125,Twin Room,2,6.0,Very good,23,29
Diamond Suites,Madinah,134,Economy Double Room,1,7.1,Good,144,35
Areen ApartHotel,Riyadh,203,Deluxe Double Room,1,7.4,Good,521,30
Jinan Al Nakhil Apartment Hotel,Riyadh,193,Superior Suite,1,8.6,Fabulous,117,37
The District Hotel Najran,Najran,310,Deluxe Double Room with City View,1,8.4,Good,993,28
سفن سيز 2 للوحدات السكينه,Jeddah  ,162,One-Bedroom Apartment,3,5.5,Very good,236,40
Freesia Hotel,Jeddah  ,270,One-Bedroom Suite,1,7.8,Good,59,28
Pearl of Vision Hotel,Jeddah  ,153,Standard Single Room,1,8.5,Good,134,28
Raoum Inn - Hawtah Bani Tamim,Riyadh,165,One-Bedroom Suite,1,6.4,Very good,126,35
Safa Albawadi,Jeddah  ,115,Twin Room,2,7.6,Good,773,29
Aber Hotel Unayzah,Unayzah  ,285,Twin Room,2,8.4,Good,648,35
Golden Tulip Al Nasiriah Hotel,Riyadh,291,Standard King Room,1,6.6,Very good,3521,30
Al Rahden Hotel,Riyadh,594,Deluxe Double or Twin Room with Balcony,2,8.5,Good,660,37
Toot House,Taif,250,One-Bedroom Apartment,1,8.2,Good,1933,28
Hayah Golden Hotel,Madinah,122,Quadruple Room,4,6.9,Very good,1206,40
Qasr Al Nabarees ApartHotel,Jeddah,124,One-Bedroom Apartment,2,5.1,Very good,167,28
القصر للاجنحة الفندقية 7 الواديين,Khamis Mushayt,360,Junior Suite,2,8.7,Fabulous,100,28
Midan Hotel,Makkah,189,Double Room,1,8.6,Fabulous,3508,35
Taraf Al Asalah Villas,Asir,200,One-Bedroom Villa,1,7.4,Good,125,29
Lavana Furnished Apartments Salam,Jeddah,161,Studio,1,7.9,Good,796,35
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,1074,Deluxe Double Room with City View,1,8.2,Good,9054,30
Vision of Onaizah Furnished Units,Unayzah,153,Twin Room,2,8.2,Good,829,37
فندق لافندر,Taif,499,Deluxe Suite,1,8.3,Good,632,28
Dar Al Naem Hotel,Madinah,150,Standard Twin Room,2,6.4,Very good,1371,40
Marriott Executive Apartments Madinah,Madinah,850,"Studio Apartment, 1 King, Sofa bed, Garden view",2,9.0,Superb,895,28
Mnazel Jawraq,Riyadh,2250,Villa with Private Pool,4,8.8,Fabulous,58,28
شاليهات ويڤ Wave Resorts,Al Khobar,3750,Chalet,4,7.9,Good,39,35
Villa Al Nakhil,King Abdullah Economic City,1764,Three-Bedroom Villa,5,0.0,Very good,0,29
دار الود للأجنحة الفندقية,Jeddah,217,Studio,1,8.2,Good,336,35
Alreef Diamond Villas,Taif,1500,Standard Villa,13,9.0,Superb,101,30
Rolana Furnished Apartments,Jeddah,189,Deluxe Studio,1,7.5,Good,40,37
