hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Jamjoom Hotel - فندق الجمجوم,Jeddah,131,Deluxe King Room,1,6.2,Very good,724,28
Diamond Elite hotel,Jeddah,225,Twin Room,2,8.4,Good,1319,35
Almakan Suites 111,Riyadh ,61,Studio Apartment,1,4.0,Very good,830,29
Swiss EYE,Jeddah,219,Deluxe Twin Room,2,7.6,Good,1073,35
Al Hamra Palace ApartHotel Falastin,Jeddah,170,Deluxe Studio,1,6.7,Very good,1529,30
برج سما للشقق المفروشة,Jeddah,102,Studio,2,6.3,Very good,768,37
Ebreez Hotel,Jeddah,200,Deluxe King Room,1,7.5,Good,2248,30
Hawadah Hotel,Jeddah,230,Standard Double Room,1,7.3,Good,461,29
شدون للوحدات السكنية,Buraydah,144,Double Room - Disability Access,1,6.9,Very good,171,27
Durrat Hira ApartHotel,Jeddah,163,Studio,1,8.1,Good,1067,34
منتجع قرية الريف الفندقية,Taif,315,One-Bedroom Chalet,1,7.8,Good,95,100
منتجع قرية الفقرة,Madinah,1400,Two-Bedroom Villa,4,8.6,Fabulous,8,28
فندق رحابة Rahabah Hotel,Makkah,158,Budget Double Room,1,7.3,Good,14,28
Acacia Aparthotel,Jeddah,144,Economy Double Room,1,7.4,Good,1387,35
Danat Park Hotel,Yanbu,140,Budget Double Room,1,6.5,Very good,563,29
فندق بانوراما الخبر-Panorama ALkohbar Hotel,Riyadh,400,Duplex Studio,1,6.6,Very good,89,35
Rose Diamond Hotel,Madinah,100,Standard Quadruple Room,3,6.7,Very good,318,50
Makarim Palm Hotel,Rabigh,160,One-Bedroom Apartment,1,6.8,Very good,311,37
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic City,1259,Apartment,5,9.4,Superb,7,100
مينا بلازا الطائف Mena Plaza Taif,Taif,140,Standard King Room,1,5.8,Very good,1112,60
Al Qibla Hotel,Madinah,285,Twin Room - Non-Smoking,2,6.3,Very good,1690,28
Orchida Al Hamra,Riyadh ,111,King Studio,1,5.8,Very good,15,28
فندق النهضة Al Nahda Hotel,Jeddah,111,Studio,1,6.3,Very good,340,40
رحاب الضيافة,Dammam,230,Two-Bedroom Apartment,6,0.0,Very good,0,80
Baisan Suites Al Jubail,Al Jubail,210,One-Bedroom Apartment,1,7.0,Good,607,28
Afaq Jeddah,Jeddah,162,Budget Double Room,1,6.8,Very good,2020,28
Naviti Warwick Al Khobar,Riyadh ,309,Deluxe Double Room,1,7.6,Good,3543,28
شاليه وئام,Umm as Salam,650,One-Bedroom Chalet,2,0.0,Very good,0,28
Almakan Hotel 103,Riyadh,144,One-Bedroom Apartment,1,6.0,Very good,1789,35
Bhadur Resort Jeddah,Jeddah,600,Standard  Room,1,5.7,Very good,854,29
Quartz Executive كوارتز التنفيذية,Abha,322,Superior Suite,2,8.5,Good,87,35
رواسل,Jeddah,168,Superior Twin Room,2,8.1,Good,79,30
Almuhaidb Residence Al Jubail,Al Jubail,250,Standard King Room,1,7.7,Good,1596,37
Nuzul mena 109,Riyadh,126,Studio Apartment,2,6.2,Very good,970,28
فندق العرب إن,Riyadh,75,Deluxe Double Room,2,7.3,Good,33,28
Royal El Naser Hotel,Riyadh,150,Deluxe Double Room,1,5.3,Very good,375,28
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,229,Deluxe Double Studio,2,8.0,Good,864,28
Crown Rose Hotel,Riyadh,360,Superior Twin Room,2,7.8,Good,1139,40
دار اجواء 2,Riyadh,179,One-Bedroom Apartment,1,0.0,Very good,0,29
Genac Hotel Yanbu,Yanbu,100,Deluxe Double Room,2,7.1,Good,444,40
العييري للوحدات المفروشة جدة 6,Jeddah,160,Two-Bedroom Apartment,2,5.1,Very good,13,37
شاليهات سحاب,Buraydah ,1150,Two-Bedroom Chalet,3,9.1,Superb,14,50
شقق بيات العالية بوادي بن هشبل Bayat Al aliah Apartments in Wadi bin Hashbal,Bin Hashbal,130,One-Bedroom Apartment,1,8.9,Fabulous,21,30
سرو للوحدات السكنية,Al Namas,200,One-Bedroom Villa,1,7.6,Good,425,28
الحماد للشقق الفندقية - فرع قريش,Jeddah,120,One-Bedroom Apartment,1,7.2,Good,1836,28
Loalat Al Rowdah Family,Jeddah,210,Apartment,2,7.8,Good,466,28
شقق عمار - شقق خاصة,Al Ula,217,Budget Double Room,2,8.0,Good,67,28
العييرى للوحات المفروشة جدة4,Jeddah,85,Twin Room with Bathroom,2,3.8,Very good,20,35
Mena Andalusia Riyadh,Riyadh,213,Standard Room Twin,1,7.2,Good,3261,29
Gardino Hotel & Residence - فندق جاردينو,Riyadh,698,Deluxe Room,1,8.7,Fabulous,365,35
Al Andalus Palace 1 Hotel Haram فندق قصر الاندلس 1 الحرم,Madinah,170,Deluxe King Room,1,6.4,Very good,3257,30
Almasem Luxury Hotel suite 6,Riyadh,219,Economy Twin Room,2,7.6,Good,495,37
Golden Abha,Abha,74,Deluxe King Room,1,5.5,Very good,1216,28
Iris Boutique Taif Heart,Taif,297,Deluxe Queen Room,1,8.6,Fabulous,1354,40
Super 8 Al Riyadh,Riyadh,340,King Room - Non-Smoking,1,6.9,Very good,708,28
رانا الخليجية - rana alkhaleejiah,Riyadh,230,One-Bedroom Apartment,1,7.7,Good,17,28
إبريز الحجاز Amarena سابقا,Jeddah,111,Economy Double Room,1,7.0,Good,167,35
دارك للشقق المفروشة,Al Ula,300,Two-Bedroom Apartment,3,7.2,Good,179,50
Raihat Al Bustan Furnished Units,Haradh,180,Budget Double Room,2,6.4,Very good,8,35
شقق درة الجوف,Riyadh,120,Large Double Room,1,6.8,Very good,35,30
Rawabi Al Khobar Hotel,Riyadh,275,Standard Double Room,1,7.4,Good,369,37
Orchida Al Hamra,Riyadh,111,King Studio,1,5.8,Very good,15,28
عابر خميس مشيط,Khamis Mushayt,251,Superior Double Room,1,8.3,Good,402,33
شاليهات القمر,Taif,470,Two-Bedroom Chalet,3,9.2,Superb,13,300
Areen ApartHotel,Riyadh,171,Economy Double Room,1,7.4,Good,521,28
Al Eairy Apartment-Alqaseem 1,Buraydah,99,Twin Room,2,4.8,Very good,352,28
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic,1259,Apartment,5,9.4,Superb,7,90
ريف عسير للشقق المفروشة,Khamis Mushayt,125,Deluxe Double Room,1,7.5,Good,34,29
Views Hotel & Residences,King Abdullah Economic,764,Studio with Courtyard View,1,8.3,Good,7034,35
Swiss International Taba Alsalam,Madinah,260,Double Room with Private Bathroom,1,7.7,Good,4439,30
Fakher Yanbu Hotel,Yanbu ,98,Studio,1,7.0,Good,1571,37
Le Park Shaqra,Shaqra ,340,Superior Suite,1,9.0,Superb,114,28
Orchida Turaif Hotel 1,Turayf,125,Twin Room,2,6.0,Very good,23,40
